id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun,jenis_rumah_sakit
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUMN,0,UNIT,2019,Rumah Sakit Umum
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,1,UNIT,2019,Rumah Sakit Umum
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.PROV,1,UNIT,2019,Rumah Sakit Umum
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.KAB/KOTA,3,UNIT,2019,Rumah Sakit Umum
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUMN,0,UNIT,2019,Rumah Sakit Umum
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,3,UNIT,2019,Rumah Sakit Umum
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
30,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
31,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.PROV,1,UNIT,2019,Rumah Sakit Umum
32,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
33,32,JAWA BARAT,3205,KABUPATEN GARUT,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
34,32,JAWA BARAT,3205,KABUPATEN GARUT,BUMN,0,UNIT,2019,Rumah Sakit Umum
35,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,3,UNIT,2019,Rumah Sakit Umum
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUMN,0,UNIT,2019,Rumah Sakit Umum
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,0,UNIT,2019,Rumah Sakit Umum
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUMN,0,UNIT,2019,Rumah Sakit Umum
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,3,UNIT,2019,Rumah Sakit Umum
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUMN,0,UNIT,2019,Rumah Sakit Umum
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,8,UNIT,2019,Rumah Sakit Umum
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUMN,0,UNIT,2019,Rumah Sakit Umum
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,6,UNIT,2019,Rumah Sakit Umum
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUMN,0,UNIT,2019,Rumah Sakit Umum
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,0,UNIT,2019,Rumah Sakit Umum
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUMN,0,UNIT,2019,Rumah Sakit Umum
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,2,UNIT,2019,Rumah Sakit Umum
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.KAB/KOTA,3,UNIT,2019,Rumah Sakit Umum
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUMN,1,UNIT,2019,Rumah Sakit Umum
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,6,UNIT,2019,Rumah Sakit Umum
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUMN,1,UNIT,2019,Rumah Sakit Umum
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,4,UNIT,2019,Rumah Sakit Umum
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUMN,0,UNIT,2019,Rumah Sakit Umum
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,7,UNIT,2019,Rumah Sakit Umum
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUMN,0,UNIT,2019,Rumah Sakit Umum
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,17,UNIT,2019,Rumah Sakit Umum
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUMN,0,UNIT,2019,Rumah Sakit Umum
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,42,UNIT,2019,Rumah Sakit Umum
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEM.KAB/KOTA,3,UNIT,2019,Rumah Sakit Umum
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUMN,0,UNIT,2019,Rumah Sakit Umum
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,3,UNIT,2019,Rumah Sakit Umum
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEM.KAB/KOTA,0,UNIT,2019,Rumah Sakit Umum
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUMN,0,UNIT,2019,Rumah Sakit Umum
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,0,UNIT,2019,Rumah Sakit Umum
127,32,JAWA BARAT,3271,KOTA BOGOR,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
128,32,JAWA BARAT,3271,KOTA BOGOR,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
129,32,JAWA BARAT,3271,KOTA BOGOR,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
130,32,JAWA BARAT,3271,KOTA BOGOR,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
131,32,JAWA BARAT,3271,KOTA BOGOR,TNI/POLRI,2,UNIT,2019,Rumah Sakit Umum
132,32,JAWA BARAT,3271,KOTA BOGOR,BUMN,0,UNIT,2019,Rumah Sakit Umum
133,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,13,UNIT,2019,Rumah Sakit Umum
134,32,JAWA BARAT,3272,KOTA SUKABUMI,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
135,32,JAWA BARAT,3272,KOTA SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
136,32,JAWA BARAT,3272,KOTA SUKABUMI,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
137,32,JAWA BARAT,3272,KOTA SUKABUMI,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
138,32,JAWA BARAT,3272,KOTA SUKABUMI,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
139,32,JAWA BARAT,3272,KOTA SUKABUMI,BUMN,0,UNIT,2019,Rumah Sakit Umum
140,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,3,UNIT,2019,Rumah Sakit Umum
141,32,JAWA BARAT,3273,KOTA BANDUNG,KEMENKES,1,UNIT,2019,Rumah Sakit Umum
142,32,JAWA BARAT,3273,KOTA BANDUNG,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
143,32,JAWA BARAT,3273,KOTA BANDUNG,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
144,32,JAWA BARAT,3273,KOTA BANDUNG,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
145,32,JAWA BARAT,3273,KOTA BANDUNG,TNI/POLRI,3,UNIT,2019,Rumah Sakit Umum
146,32,JAWA BARAT,3273,KOTA BANDUNG,BUMN,1,UNIT,2019,Rumah Sakit Umum
147,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,14,UNIT,2019,Rumah Sakit Umum
148,32,JAWA BARAT,3274,KOTA CIREBON,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
149,32,JAWA BARAT,3274,KOTA CIREBON,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
150,32,JAWA BARAT,3274,KOTA CIREBON,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
151,32,JAWA BARAT,3274,KOTA CIREBON,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
152,32,JAWA BARAT,3274,KOTA CIREBON,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
153,32,JAWA BARAT,3274,KOTA CIREBON,BUMN,1,UNIT,2019,Rumah Sakit Umum
154,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,6,UNIT,2019,Rumah Sakit Umum
155,32,JAWA BARAT,3275,KOTA BEKASI,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
156,32,JAWA BARAT,3275,KOTA BEKASI,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
157,32,JAWA BARAT,3275,KOTA BEKASI,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
158,32,JAWA BARAT,3275,KOTA BEKASI,PEM.KAB/KOTA,4,UNIT,2019,Rumah Sakit Umum
159,32,JAWA BARAT,3275,KOTA BEKASI,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
160,32,JAWA BARAT,3275,KOTA BEKASI,BUMN,0,UNIT,2019,Rumah Sakit Umum
161,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,38,UNIT,2019,Rumah Sakit Umum
162,32,JAWA BARAT,3276,KOTA DEPOK,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
163,32,JAWA BARAT,3276,KOTA DEPOK,KEMENTERIAN LAIN,1,UNIT,2019,Rumah Sakit Umum
164,32,JAWA BARAT,3276,KOTA DEPOK,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
165,32,JAWA BARAT,3276,KOTA DEPOK,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
166,32,JAWA BARAT,3276,KOTA DEPOK,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
167,32,JAWA BARAT,3276,KOTA DEPOK,BUMN,0,UNIT,2019,Rumah Sakit Umum
168,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,15,UNIT,2019,Rumah Sakit Umum
169,32,JAWA BARAT,3277,KOTA CIMAHI,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
170,32,JAWA BARAT,3277,KOTA CIMAHI,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
171,32,JAWA BARAT,3277,KOTA CIMAHI,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
172,32,JAWA BARAT,3277,KOTA CIMAHI,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
173,32,JAWA BARAT,3277,KOTA CIMAHI,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
174,32,JAWA BARAT,3277,KOTA CIMAHI,BUMN,0,UNIT,2019,Rumah Sakit Umum
175,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,4,UNIT,2019,Rumah Sakit Umum
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUMN,0,UNIT,2019,Rumah Sakit Umum
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,6,UNIT,2019,Rumah Sakit Umum
183,32,JAWA BARAT,3279,KOTA BANJAR,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
184,32,JAWA BARAT,3279,KOTA BANJAR,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
185,32,JAWA BARAT,3279,KOTA BANJAR,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
186,32,JAWA BARAT,3279,KOTA BANJAR,PEM.KAB/KOTA,1,UNIT,2019,Rumah Sakit Umum
187,32,JAWA BARAT,3279,KOTA BANJAR,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
188,32,JAWA BARAT,3279,KOTA BANJAR,BUMN,0,UNIT,2019,Rumah Sakit Umum
189,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2019,Rumah Sakit Umum
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.PROV,0,UNIT,2020,Rumah Sakit Umum
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.KAB/KOTA,4,UNIT,2020,Rumah Sakit Umum
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,TNI/POLRI,1,UNIT,2020,Rumah Sakit Umum
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUMN,0,UNIT,2020,Rumah Sakit Umum
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,19,UNIT,2020,Rumah Sakit Umum
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.PROV,1,UNIT,2020,Rumah Sakit Umum
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.KAB/KOTA,3,UNIT,2020,Rumah Sakit Umum
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TNI/POLRI,0,UNIT,2020,Rumah Sakit Umum
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUMN,0,UNIT,2020,Rumah Sakit Umum
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,4,UNIT,2020,Rumah Sakit Umum
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.PROV,0,UNIT,2020,Rumah Sakit Umum
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.KAB/KOTA,3,UNIT,2020,Rumah Sakit Umum
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TNI/POLRI,1,UNIT,2020,Rumah Sakit Umum
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUMN,0,UNIT,2020,Rumah Sakit Umum
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,1,UNIT,2020,Rumah Sakit Umum
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.PROV,2,UNIT,2020,Rumah Sakit Umum
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.KAB/KOTA,3,UNIT,2020,Rumah Sakit Umum
215,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TNI/POLRI,1,UNIT,2020,Rumah Sakit Umum
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUMN,0,UNIT,2020,Rumah Sakit Umum
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,4,UNIT,2020,Rumah Sakit Umum
218,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
219,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
220,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.PROV,1,UNIT,2020,Rumah Sakit Umum
221,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.KAB/KOTA,1,UNIT,2020,Rumah Sakit Umum
222,32,JAWA BARAT,3205,KABUPATEN GARUT,TNI/POLRI,1,UNIT,2020,Rumah Sakit Umum
223,32,JAWA BARAT,3205,KABUPATEN GARUT,BUMN,0,UNIT,2020,Rumah Sakit Umum
224,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,3,UNIT,2020,Rumah Sakit Umum
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENKES,0,UNIT,2020,Rumah Sakit Umum
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2020,Rumah Sakit Umum
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.PROV,0,UNIT,2020,Rumah Sakit Umum
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2020,Rumah Sakit Umum
229,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TNI/POLRI,0,UNIT,2020,Rumah Sakit Umum
